locations_id,directions_id,measured_from,measured_to,value
camea-BC_ST-RABA,camea-ST-BA,2019-12-31T23:00:00.000Z,2019-12-31T23:05:00.000Z,0
camea-BC_EU-KTOT,camea-BC_EU-KT,2019-12-31T23:00:00.000Z,2019-12-31T23:05:00.000Z,
camea-BC_EU-KTOT,camea-BC_EU-OT,2019-12-31T23:00:00.000Z,2019-12-31T23:05:00.000Z,
camea-BC_ST-RABA,camea-ST-RA,2019-12-31T23:00:00.000Z,2019-12-31T23:05:00.000Z,0
camea-BC_VK-HRUP,camea-BC_VK-HR,2019-12-31T23:00:00.000Z,2019-12-31T23:05:00.000Z,0
camea-BC_TL-TRHO,camea-TL-HO,2019-12-31T23:00:00.000Z,2019-12-31T23:05:00.000Z,
camea-BC_PM-MHJA,camea-PM-MH,2019-12-31T23:00:00.000Z,2019-12-31T23:05:00.000Z,0
camea-BC_PM-MHJA,camea-PM-JA,2019-12-31T23:00:00.000Z,2019-12-31T23:05:00.000Z,0
camea-BC_SH-SEKU,camea-BC_SH-SE,2019-12-31T23:00:00.000Z,2019-12-31T23:05:00.000Z,
camea-BC_HZ-CE,camea-BC_HZ-HL,2019-12-31T23:00:00.000Z,2019-12-31T23:05:00.000Z,
camea-BC_TL-TRHO,camea-TL-TR,2019-12-31T23:00:00.000Z,2019-12-31T23:05:00.000Z,
camea-BC_VK-HRUP,camea-BC_VK-UP,2019-12-31T23:00:00.000Z,2019-12-31T23:05:00.000Z,0
camea-BC_HZ-CE,camea-BC_HZ-CE,2019-12-31T23:00:00.000Z,2019-12-31T23:05:00.000Z,
camea-BC_KR-RAZB,camea-BC_KR-RA,2019-12-31T23:00:00.000Z,2019-12-31T23:05:00.000Z,0
camea-BC_PP-ROJP,camea-BC_PP-RO,2019-12-31T23:00:00.000Z,2019-12-31T23:05:00.000Z,
camea-BC_PP-ROJP,camea-LO_PP-JP,2019-12-31T23:00:00.000Z,2019-12-31T23:05:00.000Z,
camea-BC_RN-JK,camea-RN-JO,2019-12-31T23:00:00.000Z,2019-12-31T23:05:00.000Z,
camea-BC_KR-RAZB,camea-BC_KR-ZB,2019-12-31T23:00:00.000Z,2019-12-31T23:05:00.000Z,0
camea-BC_RN-JK,camea-RN-KA,2019-12-31T23:00:00.000Z,2019-12-31T23:05:00.000Z,
